Designator,Mid X,Mid Y,Layer,Rotation
C1,45.288000mm,-39.586000mm,Top,0
C2,31.218900mm,-33.050000mm,Top,180
C3,42.176500mm,-25.298500mm,Top,90
C4,34.366000mm,-17.361000mm,Top,180
C5,39.065000mm,-13.475200mm,Top,270
C6,30.492500mm,-11.519000mm,Top,0
C7,34.747000mm,-11.519000mm,Top,180
C8,34.851100mm,-32.893100mm,Top,180
C9,29.524800mm,-6.870800mm,Top,180
C10,54.030680mm,-25.057200mm,Top,0
C11,54.030680mm,-27.053640mm,Top,0
C12,54.051000mm,-20.210880mm,Top,0
C13,54.051000mm,-18.204280mm,Top,0
D1,10.163500mm,-3.200500mm,Top,0
R1,10.172500mm,-5.296000mm,Top,0
R2,33.315200mm,-6.870800mm,Top,180
R3,17.941600mm,-67.818100mm,Top,180
R4,23.190000mm,-26.251000mm,Top,270
R5,25.984000mm,-26.235000mm,Top,270
R6,31.143500mm,-35.000000mm,Top,180
R7,43.616680mm,-21.384360mm,Top,90
R8,46.436080mm,-23.187760mm,Top,180
SW1,22.800000mm,-4.500000mm,Top,180
SW2,52.500000mm,-4.500000mm,Top,0
U1,33.832600mm,-25.095300mm,Top,180
U2,54.114500mm,-22.631500mm,Top,180
Y1,32.651500mm,-14.440000mm,Top,0
