Designator,Mid X,Mid Y,Rotation,Layer
BT1,63.49,-8.86,270.0,top
BT2,11.42,-61.1,90.0,top
C1,44.288,-38.586,180.0,top
C10,53.03068,-24.0572,0.0,top
C11,53.03068,-26.05364,0.0,top
C12,53.051,-19.21088,0.0,top
C13,53.051,-17.20428,0.0,top
C2,30.2189,-32.05,180.0,top
C3,41.1765,-24.2985,90.0,top
C4,33.366,-16.361,180.0,top
C5,38.065,-12.4752,90.0,top
C6,29.4925,-10.519,0.0,top
C7,33.747,-10.519,180.0,top
C8,33.8511,-31.8931,180.0,top
C9,28.5248,-5.8708,180.0,top
D1,9.1635,-2.2005,0.0,top
H1,15.0,-3.25,0.0,top
H2,60.0,-3.25,0.0,top
H3,15.0,-71.75,0.0,top
H4,60.0,-71.75,0.0,top
H5,23.5108,-12.2,0.0,top
H6,23.5108,-55.2,0.0,top
H7,51.5108,-12.2,0.0,top
H8,51.5108,-55.2,0.0,top
L1,48.733,-22.584,90.0,top
LOGO1,14.57,-26.14,90.0,top
R1,9.1725,-4.296,0.0,top
R2,32.3152,-5.8708,180.0,top
R3,16.9416,-66.8181,180.0,top
R4,22.19,-25.251,270.0,top
R5,24.984,-25.235,270.0,top
R6,30.1435,-34.0,180.0,top
R7,42.61668,-20.38436,90.0,top
R8,45.558,-17.885,180.0,top
SW1,21.8,-3.5,180.0,top
SW2,51.5,-3.5,0.0,top
U1,32.8326,-24.0953,270.0,top
U2,53.1145,-21.6315,180.0,top
Y1,31.6515,-13.44,0.0,top
