Reference, Value, Footprint, Datasheet
"J2","Conn_01x03_Male","","~"
"J1","Conn_01x03_Female","","~"
"Module2","Step_Down_LM2596","","https://www.ti.com/lit/ds/symlink/lm2596.pdf"
"Module3","Step_Up_HW_668_SX1308","","https://datasheetspdf.com/pdf-file/921054/Suosemi/SX1308/1"
"D1","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf"
"SW1","SW_Push_DPDT","","~"
"D2","LED  red","","~"
"J3","6.0V external power plug","","~"
"R1","270","","~"
"Module1","NiMH_Charger_NIMHCRTA_2S","","https://datasheetspdf.com/pdf-file/1257631/CONSONANCE/CN3085/1"
"SC1","Solar_Cells","","~"
"J11","Conn_01x04-conn","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"J13","Conn_01x04-conn","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"SW2","SW_DIP_x01-switches","Buttons_Switches_THT:SW_PUSH_6mm_h5mm",""
"D5","LED","LEDs:LED_D3.0mm","~"
"J9","Conn_01x02-conn","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"J10","Conn_01x02-conn","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"R2","R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"J4","Conn_01x02-conn","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"U1","CC1101-RESCUE-HB-UNI-SEN-BATT","Homebrew:CC1101",""
"J6","Conn_01x04-conn","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"BT1","Battery_Cell","Homebrew:BATTERY_HOLDER_GOOBAY_AA","~"
"BT2","Battery_Cell","Homebrew:BATTERY_HOLDER_GOOBAY_AA","~"
"J12","Conn_01x04-conn","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"J8","Conn_01x02-conn","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"J7","Conn_01x02-conn","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"C1","CP","Capacitors_THT:CP_Radial_D4.0mm_P1.50mm","~"
"R10","R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"R11","R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"J5","GS2-conn","Connectors:GS2",""
"U2","ArduinoProMini","Homebrew:ArduinoProMini",""
"C2","CP","","~"
"Module4","Step_Up_MT3608","","https://chips-and-more.com/cm/pdf/K3608.pdf"
"D3","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf"
"Q1","BC327","Package_TO_SOT_THT:TO-92_Inline","http://www.onsemi.com/pub_link/Collateral/BC327-D.PDF"
"R4","R","","~"
"R5","R","","~"
"R3","R","","~"
"Module6","Sensirion_CO2_Sensor_SCD30","","https://www.sensirion.com/fileadmin/user_upload/customers/sensirion/Dokumente/9.5_CO2/Sensirion_CO2_Sensors_SCD30_Datasheet.pdf"
"Module5","16Bit_ADC_ADS1115","","https://www.ti.com/lit/ds/symlink/ads1115.pdf"
"J14","Conn_01x04-conn","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"R6","R","","~"
"R8","R","","~"
"R9","R","","~"
"R7","R","","~"
"D4","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf"
